1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,8,8,3,13,8,4,4,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,15,14,6,14,4,10,5,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,19,21,16,22,7,7,4,1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,22,25,15,21,9,9,5,1,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,27,28,21,23,17,8,7,7,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,31,29,22,22,17,13,5,8,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,32,31,29,24,18,7,9,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,45,36,33,28,19,17,7,13,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,49,39,38,35,28,16,7,13,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,55,44,40,35,29,24,8,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,60,48,47,39,32,26,10,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,65,46,52,40,33,29,9,13,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,78,48,56,50,35,29,12,16,5,9,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68,85,48,58,53,35,31,14,16,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,92,62,60,60,40,31,13,14,5,10,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,96,66,59,60,39,34,10,15,6,5,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,109,71,64,66,41,31,13,20,5,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,113,74,64,68,40,32,15,22,8,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,116,76,66,74,44,33,19,20,7,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,117,78,69,75,45,37,20,16,12,8,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,120,83,71,80,48,37,23,24,9,11,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,119,91,74,80,48,43,21,25,7,6,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,124,95,78,85,53,45,24,28,5,11,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,127,96,78,81,51,43,26,27,7,8,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,132,100,84,90,59,42,30,24,6,14,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,135,101,86,89,60,43,29,20,6,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,141,109,89,92,67,42,29,22,5,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,148,109,92,97,66,42,28,23,5,7,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,153,112,98,101,71,40,30,25,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,155,112,103,101,67,41,30,22,2,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,160,117,107,104,75,42,34,22,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,159,121,110,107,74,45,33,20,6,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,164,128,114,114,79,44,34,29,3,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,167,134,115,113,76,47,35,29,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,169,141,123,121,82,48,36,27,3,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,175,143,127,121,84,51,36,29,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,179,148,133,125,88,49,38,29,1,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,180,149,134,128,88,57,37,29,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,183,153,145,133,92,56,39,34,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,187,152,149,134,92,60,41,36,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,189,160,154,139,99,59,44,37,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,189,161,156,135,97,62,43,36,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,191,167,160,138,100,64,46,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,191,167,165,144,100,70,42,40,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,197,176,169,147,107,76,48,39,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,198,178,167,146,107,76,48,40,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,206,180,170,149,114,73,47,42,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,206,183,171,147,112,77,43,43,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,211,188,170,153,114,77,52,48,5,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,213,189,173,154,114,82,50,51,2,3,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,217,192,176,157,116,84,51,54,3,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,222,193,178,155,116,86,51,56,2,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,223,194,179,158,118,85,52,54,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,223,194,176,161,121,86,51,55,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,235,199,182,163,126,87,53,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,236,199,182,167,128,90,48,53,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,241,203,184,174,135,93,46,53,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,241,205,185,177,131,98,44,52,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,243,208,187,183,135,96,44,56,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,249,208,190,183,134,103,42,57,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,253,213,192,195,138,104,45,62,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,256,214,194,193,137,105,44,62,17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,257,219,196,194,145,103,47,66,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,260,221,196,198,142,103,48,63,20,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,264,228,198,200,146,103,51,62,17,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,265,233,199,197,149,109,53,65,16,8,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,267,238,200,203,155,111,56,65,13,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,268,236,201,202,153,112,55,64,13,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,273,242,204,206,156,111,59,66,13,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,274,245,206,204,154,116,59,69,21,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,279,252,212,208,158,114,62,71,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,283,253,213,207,155,114,62,73,26,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,286,255,217,211,159,110,65,75,24,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
293,289,257,217,210,159,112,62,75,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,292,261,222,214,163,111,61,75,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,291,262,225,214,161,110,62,80,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,296,264,227,220,168,105,64,81,24,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,299,262,231,217,168,109,68,82,26,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,301,267,235,226,173,109,71,81,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,301,265,239,225,174,113,70,82,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,308,267,242,231,179,112,75,80,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,309,268,244,230,181,113,79,80,28,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,314,270,246,234,187,113,81,81,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,316,273,252,230,184,116,80,82,31,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,320,276,255,233,189,118,79,83,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,322,283,253,235,192,124,80,80,35,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
331,325,287,257,238,200,123,82,80,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,329,286,258,239,204,127,82,79,35,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,333,289,261,240,209,127,85,79,34,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
342,335,288,260,243,205,129,85,78,39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,337,290,264,246,208,129,86,77,36,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,338,291,267,246,207,130,85,78,32,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,343,300,269,254,209,128,89,80,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,343,303,267,253,206,134,88,78,28,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,345,305,271,259,210,133,93,84,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,348,306,272,259,209,132,95,86,28,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,352,307,273,263,210,132,94,89,31,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,354,310,273,263,208,137,94,88,29,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,358,315,278,268,212,137,96,89,29,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,358,318,281,264,211,140,92,90,31,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,361,320,284,266,215,142,90,90,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,366,319,285,264,212,145,90,89,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,373,323,288,267,218,147,91,86,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,376,322,288,265,214,155,89,86,33,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,380,322,289,268,218,153,91,87,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,381,319,289,267,218,157,93,83,34,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,385,321,294,271,226,157,92,85,34,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,388,321,296,270,225,160,93,85,36,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,390,324,298,277,233,160,93,86,34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,393,325,298,275,228,163,93,89,36,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,396,331,300,275,234,161,93,87,36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,399,335,301,276,235,162,90,87,39,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,404,339,303,277,236,165,92,87,36,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,404,341,305,279,230,167,98,84,38,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,407,347,308,282,233,168,100,84,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,407,347,305,282,232,175,101,86,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,410,355,310,284,242,175,101,87,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,410,355,310,282,242,178,105,88,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,411,358,315,283,245,179,107,88,39,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,416,360,316,284,241,179,107,87,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,419,365,318,286,243,179,111,87,44,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,422,366,320,284,244,184,115,87,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,426,368,322,286,249,185,114,89,39,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,426,365,324,283,246,189,115,94,45,9,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,429,367,326,287,249,188,117,97,41,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,431,366,326,286,249,188,119,94,39,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,431,370,334,288,253,188,123,96,40,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,434,371,336,285,250,190,124,95,44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,436,372,337,287,252,189,122,93,43,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,436,371,337,287,254,193,118,94,43,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,441,375,340,291,256,195,121,92,44,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,440,375,340,289,250,201,122,92,47,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,444,378,343,294,253,198,126,96,50,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,444,378,342,290,252,200,125,99,48,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,447,382,344,292,255,200,126,100,47,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,447,382,343,291,255,206,123,100,45,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
